Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
589,589,0,0,0025c1b5,0025c1b0,00000000,1,004b84db,001e34c1,0
590,590,0,0,0025c1b6,0025c1b0,00000000,1,004b84dc,001e34c1,0
591,591,0,0,0025c1b7,0025c1b0,00000000,1,004b84dd,001e34c1,0
592,592,0,0,0025c1b8,0025c1b0,00000000,1,004b84de,001e34c1,0
593,593,0,0,0025c1b8,0025c1b0,00000000,1,004b84df,001e34c1,0
594,594,0,0,0025c1b9,0025c1b0,00000000,1,004b84e0,001e34c1,0
595,595,0,0,0025c1ba,0025c1b0,00000000,1,004b84e1,001e34c1,0
596,596,0,0,0025c1ba,0025c1b0,00000000,1,004b84e2,001e34c1,0
597,597,0,0,0025c1bb,0025c1b0,00000000,1,004b84e3,001e34c1,0
598,598,0,0,0025c1bb,0025c1b0,00000000,1,004b84e4,001e34c1,0
599,599,0,0,0025c1bc,0025c1b0,00000000,1,004b84e4,001e34c2,0
600,600,0,0,0025c1bd,0025c1b0,00000000,1,004b84e4,001e34c3,0
601,601,0,0,0025c1be,0025c1b0,00000000,1,004b84e4,001e34c4,0
602,602,0,0,0025c1bf,0025c1b0,00000000,1,004b84e4,001e34c5,0
603,603,0,0,0025c1bf,0025c1b0,00000000,1,004b84e4,001e34c6,0
604,604,0,0,0025c1c0,0025c1b0,00000000,1,004b84e4,001e34c7,0
605,605,0,0,0025c1c0,0025c1b1,00000000,1,004b84e4,001e34c8,0
606,606,0,0,0025c1c0,0025c1b2,00000000,1,004b84e4,001e34c9,0
607,607,0,0,0025c1c0,0025c1b2,00000000,1,004b84e4,001e34ca,0
608,608,0,0,0025c1c0,0025c1b2,00000000,1,004b84e5,001e34ca,0
609,609,0,0,0025c1c0,0025c1b3,00000000,1,004b84e6,001e34ca,0
610,610,0,0,0025c1c0,0025c1b4,00000000,1,004b84e7,001e34ca,0
611,611,0,0,0025c1c0,0025c1b5,00000000,1,004b84e7,001e34cb,0
612,612,0,0,0025c1c0,0025c1b6,00000000,1,004b84e7,001e34cc,0
613,613,0,0,0025c1c0,0025c1b6,00000000,1,004b84e8,001e34cc,0
614,614,0,0,0025c1c0,0025c1b7,00000000,1,004b84e9,001e34cc,0
615,615,0,0,0025c1c0,0025c1b8,00000000,1,004b84ea,001e34cc,0
616,616,0,0,0025c1c0,0025c1b9,00000000,1,004b84ea,001e34cd,0
617,617,0,0,0025c1c0,0025c1ba,00000000,1,004b84eb,001e34cd,0
618,618,0,0,0025c1c0,0025c1ba,00000000,1,004b84ec,001e34cd,0
619,619,0,0,0025c1c0,0025c1ba,00000000,1,004b84ed,001e34cd,0
620,620,0,0,0025c1c0,0025c1bb,00000000,1,004b84ee,001e34cd,0
621,621,0,0,0025c1c0,0025c1bc,00000000,1,004b84ee,001e34ce,0
622,622,0,0,0025c1c0,0025c1bd,00000000,1,004b84ef,001e34ce,0
623,623,0,0,0025c1c0,0025c1bd,00000000,1,004b84f0,001e34ce,0
624,624,0,0,0025c1c0,0025c1be,00000000,1,004b84f1,001e34ce,0
625,625,0,0,0025c1c0,0025c1bf,00000000,1,004b84f2,001e34ce,0
626,626,0,0,0025c1c0,0025c1c0,00000000,1,004b84f3,001e34ce,0
627,627,0,0,0025c1c1,0025c1c0,00000000,1,004b84f4,001e34ce,0
628,628,0,0,0025c1c1,0025c1c0,00000000,1,004b84f5,001e34ce,0
629,629,0,0,0025c1c2,0025c1c0,00000000,1,004b84f6,001e34ce,0
630,630,0,0,0025c1c3,0025c1c0,00000000,1,004b84f7,001e34ce,0
