Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_11/state_dbg[1:0],u_stress/agent_11/tx_flit_cnt[31:0],u_stress/agent_11/tx_stall_cnt[31:0],u_stress/agent_11/rx_vc1_cnt[31:0],u_stress/agent_11/rx_err_cnt[31:0],u_stress/agent_11/rx_tdest_dbg[3:0],u_stress/agent_11/rx_vc0_cnt[31:0],u_stress/agent_11/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
73,73,0,1,00b61c16,00000000,005b0eb4,00000000,5,005b0e7c,0
74,74,0,1,00b61c17,00000000,005b0eb5,00000000,5,005b0e7c,0
75,75,0,1,00b61c18,00000000,005b0eb6,00000000,5,005b0e7c,0
76,76,0,1,00b61c19,00000000,005b0eb7,00000000,5,005b0e7c,0
77,77,0,1,00b61c1a,00000000,005b0eb8,00000000,5,005b0e7c,0
78,78,0,1,00b61c1b,00000000,005b0eb9,00000000,5,005b0e7c,0
79,79,0,1,00b61c1c,00000000,005b0eba,00000000,5,005b0e7c,0
80,80,0,1,00b61c1d,00000000,005b0ebb,00000000,5,005b0e7c,0
81,81,0,1,00b61c1e,00000000,005b0ebc,00000000,5,005b0e7c,0
82,82,0,1,00b61c1f,00000000,005b0ebd,00000000,5,005b0e7c,0
83,83,0,1,00b61c20,00000000,005b0ebe,00000000,5,005b0e7c,0
84,84,0,1,00b61c21,00000000,005b0ebf,00000000,5,005b0e7c,0
85,85,0,1,00b61c22,00000000,005b0ec0,00000000,5,005b0e7c,0
86,86,0,1,00b61c23,00000000,005b0ec0,00000000,5,005b0e7d,0
87,87,0,1,00b61c24,00000000,005b0ec0,00000000,5,005b0e7e,0
88,88,0,1,00b61c25,00000000,005b0ec0,00000000,5,005b0e7f,0
89,89,0,1,00b61c26,00000000,005b0ec0,00000000,5,005b0e80,0
90,90,0,1,00b61c27,00000000,005b0ec0,00000000,5,005b0e81,0
91,91,0,1,00b61c28,00000000,005b0ec0,00000000,5,005b0e82,0
92,92,0,1,00b61c29,00000000,005b0ec0,00000000,5,005b0e83,0
93,93,0,1,00b61c2a,00000000,005b0ec0,00000000,5,005b0e84,0
94,94,0,1,00b61c2b,00000000,005b0ec0,00000000,5,005b0e85,0
95,95,0,1,00b61c2c,00000000,005b0ec0,00000000,5,005b0e86,0
96,96,0,1,00b61c2d,00000000,005b0ec0,00000000,5,005b0e87,0
97,97,0,1,00b61c2e,00000000,005b0ec0,00000000,5,005b0e88,0
98,98,0,1,00b61c2f,00000000,005b0ec0,00000000,5,005b0e89,0
99,99,0,1,00b61c30,00000000,005b0ec0,00000000,5,005b0e8a,0
100,100,0,1,00b61c31,00000000,005b0ec0,00000000,5,005b0e8b,0
101,101,0,1,00b61c32,00000000,005b0ec0,00000000,5,005b0e8c,0
102,102,0,1,00b61c33,00000000,005b0ec1,00000000,5,005b0e8c,0
103,103,0,1,00b61c34,00000000,005b0ec2,00000000,5,005b0e8c,0
104,104,0,1,00b61c35,00000000,005b0ec3,00000000,5,005b0e8c,0
105,105,0,1,00b61c36,00000000,005b0ec4,00000000,5,005b0e8c,0
106,106,0,1,00b61c37,00000000,005b0ec5,00000000,5,005b0e8c,0
107,107,0,1,00b61c38,00000000,005b0ec6,00000000,5,005b0e8c,0
108,108,0,1,00b61c39,00000000,005b0ec7,00000000,5,005b0e8c,0
109,109,0,1,00b61c3a,00000000,005b0ec8,00000000,5,005b0e8c,0
110,110,0,1,00b61c3b,00000000,005b0ec9,00000000,5,005b0e8c,0
111,111,0,1,00b61c3c,00000000,005b0eca,00000000,5,005b0e8c,0
112,112,0,1,00b61c3d,00000000,005b0ecb,00000000,5,005b0e8c,0
113,113,0,1,00b61c3e,00000000,005b0ecc,00000000,5,005b0e8c,0
114,114,0,1,00b61c3f,00000000,005b0ecd,00000000,5,005b0e8c,0
115,115,0,1,00b61c40,00000000,005b0ece,00000000,5,005b0e8c,0
116,116,0,1,00b61c41,00000000,005b0ecf,00000000,5,005b0e8c,0
117,117,0,1,00b61c42,00000000,005b0ed0,00000000,5,005b0e8c,0
118,118,0,1,00b61c43,00000000,005b0ed0,00000000,5,005b0e8d,0
119,119,0,1,00b61c44,00000000,005b0ed0,00000000,5,005b0e8e,0
120,120,0,1,00b61c45,00000000,005b0ed0,00000000,5,005b0e8f,0
121,121,0,1,00b61c46,00000000,005b0ed0,00000000,5,005b0e90,0
122,122,0,1,00b61c47,00000000,005b0ed0,00000000,5,005b0e91,0
123,123,0,1,00b61c48,00000000,005b0ed0,00000000,5,005b0e92,0
