Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
35,35,0,238a450d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
36,36,0,238a450e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
37,37,0,238a450f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a450f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
38,38,0,238a4510,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4510,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
39,39,0,238a4511,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4511,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
40,40,0,238a4512,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4512,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
41,41,0,238a4513,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4513,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
42,42,0,238a4514,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4514,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
43,43,0,238a4515,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4515,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
44,44,0,238a4516,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4516,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
45,45,0,238a4517,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4517,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
46,46,0,238a4518,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4518,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
47,47,0,238a4519,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4519,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
48,48,0,238a451a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
49,49,0,238a451b,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451b,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
50,50,0,238a451c,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451c,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
51,51,0,238a451d,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451d,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
52,52,0,238a451e,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451e,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
53,53,0,238a451f,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a451f,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
54,54,0,238a4520,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4520,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
55,55,0,238a4521,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4521,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
56,56,0,238a4522,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4522,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
57,57,0,238a4523,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4523,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
58,58,0,238a4524,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4524,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
59,59,0,238a4525,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4525,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
60,60,0,238a4526,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4526,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
61,61,0,238a4527,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4527,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
62,62,0,238a4528,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4528,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
63,63,0,238a4529,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a4529,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
64,64,0,238a452a,00000000,00000000,0008d5b7,00000000,008d5b76,00000000,238a452a,003ae94d,00000000,003ae8d0,3,00000000,00000000,0,1
